time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-25T01:13:02.820Z,-9.5485,123.3978,82.05,4.5,mb,,78,0.881,1.26,us,us1000jl44,2019-03-25T01:44:42.040Z,"41km W of Naisano Dua, Indonesia",earthquake,7.2,7.3,0.113,23,reviewed,us,us
2019-03-25T01:10:45.010Z,38.7560005,-122.697998,-0.37,0.97,md,6,215,0.0122,0.02,nc,nc73155805,2019-03-25T02:37:03.297Z,"2km SSW of Anderson Springs, CA",earthquake,0.55,1.54,0.2,4,automatic,nc,nc
2019-03-25T00:59:21.779Z,63.1821,-151.1619,28.9,1.8,ml,,,,1.13,ak,ak0193uxhu8f,2019-03-25T01:05:15.395Z,"109km NNW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-03-25T00:55:05.490Z,19.1276,-67.122,42,2.74,md,7,319,0.6602,0.43,pr,pr2019084000,2019-03-25T06:21:39.209Z,"70km N of Isabela, Puerto Rico",earthquake,2.62,9.46,0.27,5,reviewed,pr,pr
2019-03-25T00:24:24.300Z,33.498333,-116.786499,4.16,0.53,ml,17,102,0.01816,0.12,ci,ci38284543,2019-03-25T00:27:58.523Z,"10km NE of Aguanga, CA",earthquake,0.34,0.76,0.206,4,automatic,ci,ci
2019-03-25T00:23:14.370Z,48.5297,155.5843,47.7,4.4,mb,,171,4.776,0.97,us,us1000jl3t,2019-03-25T00:49:03.040Z,"242km S of Severo-Kuril'sk, Russia",earthquake,12.4,8.4,0.11,24,reviewed,us,us
2019-03-25T00:07:02.700Z,33.4851667,-116.7921667,4.03,0.91,ml,39,43,0.09222,0.17,ci,ci38284519,2019-03-25T00:10:50.215Z,"8km NE of Aguanga, CA",earthquake,0.18,0.47,0.163,26,automatic,ci,ci
2019-03-24T23:54:09.500Z,38.8071671,-122.8171692,2.3,1.02,md,19,54,0.009535,0.04,nc,nc73155780,2019-03-25T01:19:02.803Z,"6km WNW of The Geysers, CA",earthquake,0.25,0.45,0.04,5,automatic,nc,nc
2019-03-24T23:49:42.510Z,61.7448,-148.1066,20.2,0.8,ml,,,,0.4,ak,ak0193tnlb51,2019-03-25T02:39:44.181Z,"39km E of Sutton-Alpine, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-03-24T23:44:18.389Z,64.977,-147.2991,3.1,1.4,ml,,,,0.67,ak,ak0193tnk8sf,2019-03-24T23:55:22.990Z,"22km NNE of Badger, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-03-24T23:36:28.771Z,61.3503,-150.033,36.2,1.7,ml,,,,0.7,ak,ak0193tnijwd,2019-03-24T23:41:58.782Z,"16km NNW of Anchorage, Alaska",earthquake,,1,,,automatic,ak,ak
2019-03-24T23:31:32.402Z,58.1011,-154.646,4.3,2.3,ml,,,,0.65,ak,ak0193tnhhlk,2019-03-25T03:56:53.040Z,"74km NNW of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-24T23:27:58.018Z,61.3837,-150.0034,33.6,1.9,ml,,,,0.6,ak,ak0193tngopm,2019-03-24T23:34:36.080Z,"15km S of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-24T23:21:05.150Z,38.8343315,-122.8106689,2.44,0.86,md,17,68,0.01093,0.03,nc,nc73155770,2019-03-25T00:27:03.498Z,"8km W of Cobb, CA",earthquake,0.29,0.74,0.04,3,automatic,nc,nc
2019-03-24T23:00:50.180Z,18.8356,-68.2438,40,3.07,md,20,165,0.3499,0.9,pr,pr2019083019,2019-03-25T00:21:39.040Z,"52km NE of Punta Cana, Dominican Republic",earthquake,5.4,8.52,0.43,13,reviewed,pr,pr
2019-03-24T22:48:55.860Z,38.8378334,-122.7948303,1.91,0.56,md,8,91,0.003551,0.01,nc,nc73155765,2019-03-25T00:01:02.353Z,"6km WNW of Cobb, CA",earthquake,0.66,1.43,,1,automatic,nc,nc
2019-03-24T22:44:59.220Z,33.8076667,-116.9895,0.05,0.99,ml,8,112,0.162,0.17,ci,ci38284399,2019-03-24T22:48:43.782Z,"4km NW of San Jacinto, CA",earthquake,0.76,31.61,0.37,9,automatic,ci,ci
2019-03-24T22:37:49.620Z,38.8358345,-122.795166,1.85,0.92,md,20,60,0.00456,0.04,nc,nc73155755,2019-03-24T23:08:03.038Z,"6km WNW of Cobb, CA",earthquake,0.25,0.39,0.09,6,automatic,nc,nc
2019-03-24T22:36:27.840Z,57.3697,-156.0983,90.7,2.5,ml,,,,0.52,ak,ak0193tmx47p,2019-03-24T22:41:05.953Z,"128km W of Larsen Bay, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-03-24T22:24:45.610Z,46.6136666666667,-119.843166666667,6.55,0.53,ml,10,186,,0.08,uw,uw61514766,2019-03-25T01:55:46.540Z,"9km SE of Desert Aire, Washington",earthquake,0.41,0.16,0.200163053582137,8,reviewed,uw,uw
2019-03-24T22:15:57.400Z,19.413166,-155.2843323,-0.67,1.84,ml,16,63,0.004478,0.13,hv,hv70883557,2019-03-24T22:21:40.710Z,"5km WSW of Volcano, Hawaii",earthquake,0.15,0.32,0.39,5,automatic,hv,hv
2019-03-24T21:45:29.973Z,58.5107,-136.7837,5.9,2.3,ml,,,,0.96,ak,ak0193tmdmcz,2019-03-24T21:51:17.380Z,"62km W of Gustavus, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-03-24T21:35:51.015Z,60.0212,-153.5147,151.4,2.1,ml,,,,0.68,ak,ak0193tmbixp,2019-03-24T21:43:35.683Z,"67km SW of Redoubt Volcano, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-03-24T21:28:56.540Z,17.9573,-66.1596,15,1.87,md,13,202,0.0534,0.23,pr,pr2019083018,2019-03-25T00:15:13.476Z,"0km ENE of Jobos, Puerto Rico",earthquake,0.6,0.69,0.54,12,reviewed,pr,pr
2019-03-24T21:26:36.810Z,38.8378334,-122.7818298,1.46,1.04,md,11,92,0.006674,0.02,nc,nc73155745,2019-03-24T22:04:02.696Z,"5km WNW of Cobb, CA",earthquake,0.39,0.52,0.15,2,automatic,nc,nc
2019-03-24T21:17:41.450Z,51.9426,178.4829,89.25,4.6,mb,,167,2.705,0.59,us,us1000jl1r,2019-03-25T02:36:03.000Z,"1km WSW of Little Sitkin Island, Alaska",earthquake,7.6,8.3,0.042,167,reviewed,us,us
2019-03-24T20:56:10.040Z,38.7874985,-122.7666702,1.04,1.06,md,19,76,0.01755,0.04,nc,nc73155735,2019-03-24T21:37:03.741Z,"1km NW of The Geysers, CA",earthquake,0.21,0.55,0.07,5,automatic,nc,nc
2019-03-24T20:49:38.680Z,37.6381683,-119.0508347,-0.37,1.23,md,14,144,0.01751,0.02,nc,nc73155775,2019-03-25T00:52:02.645Z,"6km W of Mammoth Lakes, CA",earthquake,0.56,1.3,0.18,12,automatic,nc,nc
2019-03-24T20:44:38.790Z,34.9071667,-119.474,10.19,1.18,ml,12,108,0.05984,0.2,ci,ci38284335,2019-03-24T20:48:22.729Z,"18km SSW of Maricopa, CA",earthquake,0.57,1.08,0.146,10,automatic,ci,ci
2019-03-24T20:26:03.130Z,19.4104996,-155.2875061,0.02,1.99,ml,19,89,0.007818,0.09,hv,hv70883342,2019-03-24T20:31:59.180Z,"5km WSW of Volcano, Hawaii",earthquake,0.14,0.23,0.37,11,automatic,hv,hv
2019-03-24T20:20:58.300Z,33.9688333,-117.2186667,0.23,1.49,ml,9,156,0.1482,0.24,ci,ci38284327,2019-03-24T20:24:44.578Z,"5km N of Moreno Valley, CA",earthquake,1.17,31.61,0.255,18,automatic,ci,ci
2019-03-24T20:17:09.290Z,19.4036674,-155.281662,0.38,1.88,md,16,65,0.0112,0.12,hv,hv70883327,2019-03-24T20:20:26.230Z,"5km WSW of Volcano, Hawaii",earthquake,0.18,0.32,0.21,13,automatic,hv,hv
2019-03-24T20:16:42.124Z,68.9895,-144.8048,0,1.9,ml,,,,0.97,ak,ak0193tlm01h,2019-03-24T20:26:30.908Z,"100km NNE of Arctic Village, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-03-24T20:14:40.927Z,63.9746,-147.1791,7.3,1.5,ml,,,,0.78,ak,ak0193tllkah,2019-03-24T20:18:08.775Z,"62km SSW of Salcha, Alaska",earthquake,,0.3,,,automatic,ak,ak
